Frequency,Libraries
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
80.0,Popular
20.0,Long tail
80.0,Popular
20.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
60.0,Popular
40.0,Long tail
