10,0
8,2
8,2
10,0
10,0
8,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
8,2
10,0
10,0
10,0
10,0
10,0
10,0
9,1
10,0
9,1
9,1
10,0
10,0
9,1
10,0
10,0
10,0
10,0
9,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,1
10,0
10,0
10,0
10,0
10,0
9,1
10,0
10,0
9,1
8,2
10,0
10,0
9,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,1
8,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,1
10,0
10,0
10,0
10,0
10,0
10,0
8,2
10,0
10,0
10,0
9,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
3,7
9,1
